Date,GOOGL,MSFT
19-07-2017,992.77002,73.86
20-07-2017,992.190002,74.22
21-07-2017,993.840027,73.79
24-07-2017,998.309998,73.6
25-07-2017,969.030029,74.19
26-07-2017,965.309998,74.05
27-07-2017,952.51001,73.16
28-07-2017,958.330017,73.04
31-07-2017,945.5,72.7
01-08-2017,946.559998,72.58
02-08-2017,947.640015,72.26
03-08-2017,940.299988,72.15
04-08-2017,945.789978,72.68
07-08-2017,945.75,72.4
08-08-2017,944.190002,72.79
09-08-2017,940.080017,72.47
10-08-2017,923.590027,71.41
11-08-2017,930.090027,72.5
14-08-2017,938.929993,73.59
15-08-2017,938.080017,73.22
16-08-2017,944.27002,73.65
17-08-2017,927.659973,72.4
18-08-2017,926.179993,72.49
21-08-2017,920.869995,72.15
22-08-2017,940.400024,73.16
23-08-2017,942.580017,72.72
24-08-2017,936.890015,72.69
25-08-2017,930.5,72.82
28-08-2017,928.130005,72.83
29-08-2017,935.75,73.05
30-08-2017,943.630005,74.01
31-08-2017,955.23999,74.77
01-09-2017,951.98999,73.94
05-09-2017,941.47998,73.61
06-09-2017,942.02002,73.4
07-09-2017,949.890015,74.34
08-09-2017,941.409973,73.98
11-09-2017,943.289978,74.76
12-09-2017,946.650024,74.68
13-09-2017,950.440002,75.21
14-09-2017,940.130005,74.77
15-09-2017,935.289978,75.31
18-09-2017,929.75,75.16
19-09-2017,936.859985,75.44
20-09-2017,947.539978,74.94
21-09-2017,947.549988,74.21
22-09-2017,943.26001,74.41
25-09-2017,934.280029,73.26
26-09-2017,937.429993,73.26
27-09-2017,959.900024,73.85
28-09-2017,964.809998,73.87
29-09-2017,973.719971,74.49
02-10-2017,967.469971,74.61
03-10-2017,972.080017,74.26
04-10-2017,966.780029,74.69
05-10-2017,985.190002,75.97
06-10-2017,993.640015,76
09-10-2017,992.309998,76.29
10-10-2017,987.799988,76.29
11-10-2017,1005.650024,76.42
12-10-2017,1005.650024,77.12
13-10-2017,1007.869995,77.49
16-10-2017,1009.349976,77.65
17-10-2017,1011,77.59
18-10-2017,1012.73999,77.61
19-10-2017,1001.840027,77.91
20-10-2017,1005.070007,78.81
23-10-2017,985.539978,78.83
24-10-2017,988.48999,78.86
25-10-2017,991.460022,78.63
26-10-2017,991.419983,78.76
27-10-2017,1033.670044,83.81
30-10-2017,1033.130005,83.89
31-10-2017,1033.040039,83.18
01-11-2017,1042.599976,83.18
02-11-2017,1042.969971,84.05
03-11-2017,1049.98999,84.14
06-11-2017,1042.680054,84.47
07-11-2017,1052.390015,84.27
08-11-2017,1058.290039,84.56
09-11-2017,1047.719971,84.09
10-11-2017,1044.150024,83.87
13-11-2017,1041.199951,83.93
14-11-2017,1041.640015,84.05
15-11-2017,1036.410034,82.98
16-11-2017,1048.469971,83.2
17-11-2017,1035.890015,82.4
20-11-2017,1034.660034,82.53
21-11-2017,1050.300049,83.72
22-11-2017,1051.920044,83.11
24-11-2017,1056.52002,83.26
27-11-2017,1072.01001,83.87
28-11-2017,1063.290039,84.88
29-11-2017,1037.380005,83.34
30-11-2017,1036.170044,84.17
01-12-2017,1025.069946,84.26
04-12-2017,1011.869995,81.08
05-12-2017,1019.599976,81.59
06-12-2017,1032.719971,82.78
07-12-2017,1044.569946,82.49
08-12-2017,1049.380005,84.16
11-12-2017,1051.969971,85.23
12-12-2017,1048.77002,85.58
13-12-2017,1051.390015,85.35
14-12-2017,1057.469971,84.69
15-12-2017,1072,86.85
18-12-2017,1085.089966,86.38
19-12-2017,1079.780029,85.83
20-12-2017,1073.560059,85.52
21-12-2017,1070.849976,85.5
22-12-2017,1068.859985,85.51
26-12-2017,1065.849976,85.4
27-12-2017,1060.199951,85.71
28-12-2017,1055.949951,85.72
29-12-2017,1053.400024,85.54
